Afghanistan,,119,102
Albania,,129,127
Algeria,,17,14
Angola,,113,112
Antarctica,,,
Argentina,,101,107
Azerbaijan,,102,103
Bangladesh,,999,199
Barbados,,211,511
Belarus,,102,103
Benin,, 117,112
Bhutan,, 113,112
Bolivia,,110,118
Bosnia and Herzegovina,,122,124
Brazil,,190,192
British Indian Ocean Territory,,,
Brunei,, 993,991
Burkina Faso,,17,112
Burundi,,117,112
Cambodia,,117,119
Cameroon,,17,
Cape Verde / Cabo Verde,,132,130
Central African Republic,,117,1220
Chad,,17, 2251-4242
Chile,,133,131
China,,110,120
Christmas Island,0,,
Cocos (Keeling) Islands,0,,
Comoros,,17,772-03-73
"Congo, Democratic Republic of / Congo DRC (Zaire)",,112,
"Congo, Republic of",,,
Cook Islands,,999,998
Cote d’ivoire / Ivory Coast,,111,185
Cuba,,106,104
Curacao / Curaçao,,911,912
Djibouti,,17,351351
Egypt,,122,123
Equatorial Guinea,,114,112
Eritrea,,113,114
Fiji,,911,911
Gabon,,1730,1300
Gambia,,117 or 112,116
Guadeloupe,,17,15
Guatemala,,"110, 120","122, 123 or 1554"
Guinea,,122,442-020
Indonesia,,110,118 or 119
Israel,,100,101
Jamaica,,119,110
Japan,,110,119
Kiribati,,992,994
"Korea, Republic of South",,112,119
Kyrgyzstan,,102,103
Laos,,191,195
Lebanon,,112 or 999,140
Lesotho,,123,121
Madagascar,,117,124
Malawi,,997 or 990,998
Mali,,18,15
Martinique,,17,15
Mauritania,,117,101
Mayotte,,17,15
Montserrat,,999,911
Morocco,,19,15
Mozambique,,119,117
Nauru,,110,111
Nevis,,911,911
Niger,,17,15
Norway,,112,113
"Palestine, State of",,,
Peru,,105,117
Pitcairn Islands,,,
Saint Kitts and Nevis,,911,911
Saint Martin,,911,912
Saint Pierre and Miquelon,,17,15
San Marino,,113,118
Tomé and Príncipe,,222222,"221221, 221222 & 221234"
Saudi Arabia,,999,997
Senegal,,17,15
Sierra Leone,,999,999
Somalia,,888,999
South Korea,,112,119
Sri Lanka,,"119, 118",110
St. Helena,,999,911
Swaziland,,999,977
Syrian Arab Republic,,112,110
Thailand,,191,1669
Togo / Togolese Republic,,117 or 161,8200
Tokelau,,,
Trinidad and Tobago,,999,990
Tunisia,,197,190
Tuvalu,,911,
United Arab Emirates,,"999, 112","999, 998"
Uzbekistan,,102,103
Vatican City,,113,118
Vietnam,,113,115
Wallis and Futuna Islands,,18,15
Mongolia,100,102,103
Maldives,102,119,102
India,108,100,102
New Zealand,111,,
Papua New Guinea,111,,
Andorra,112,110,118
Austria,112,113,144
Belgium,112,101,100
Bulgaria,112,,
Croatia,112,192,194
"Cyprus, Northern",112,155,
Czech Republic,112,158,155
Denmark,112,,
East Timor (Timor-Leste),112,,
Estonia,112,,
Faroe Islands,112,+298 351448,1870
Finland,112,,
France,112,17,15
French Guiana,112,17,15
French Polynesia,112,17,15
Georgia,112,,
Germany,112,110,
Greece,112,100,166
Greenland,112 mobiles only,,
Guinea-Bissau,112,117,119
Guyana,112,,913
Holy See / Vatican City State,112,113,118
Hungary,112,107,104
Iceland,112,,
Iran (Islamic Republic of),112 on mobiles,110,115
Italy,112,113,118
Kazakhstan,112,"102, 02","103, 03"
Kosovo,112,,
Kuwait,112,,
Latvia,112,2,3
Liechtenstein,112,117,144
Lithuania,112,,
Luxembourg,112,113,
Malta,112,,
"Moldova, Republic of",112,122,124
Monaco,112,,
Montenegro,112,102,124
Namibia,112,,
Nepal,112 on mobiles,100 or 103,102
Netherlands,112,,
Netherlands Antilles,112,,
New Caledonia,112,17, 15
"North Macedonia, Republic of (FYROM)",112,194,192
Poland,112,997,999
Portugal,112,,
Réunion,112,17,15
Romania,112,,
Russia (Russian Federation),112,,
Rwanda,112,,
Serbia,112,192,194
Singapore,112 on foreign mobiles,999,995
Slovakia (Slovak Republic),112,158,155
Slovenia,112,113,
South Africa,112 on mobiles,10111,10177
Spain,112,,
Saint Pierre and Miquelon,112,,
Sweden,112,,
Switzerland,112,117,144
"Taiwan, Republic of China (Chinese Taipei)",112 on mobiles,110,119
Tajikistan,112 on mobiles,102,103
"Tanzania, United Republic of",112,,
Turkey,112,,
Turkmenistan,112,102,103
Ukraine (including Crimea),112,,
Vanuatu,112,,
Zambia,112,999,993
Suriname,115,,
Haiti,118,,
Nicaragua,118,,
Nigeria,119,,
Iraq,122,104,
Western Sahara,150,,
Venezuela,171,,
Myanmar (Burma),191,,
Honduras,199,,
Yemen,199,,
American Samoa,911,,
Anguilla,911,,
Aruba,911,,
Belize,911,,
Bermuda,911,,
Canada,911,,
Cayman Islands,911,,
Ecuador,911,101,911
El Salvador,911,,
Ethiopia,911,991,907
Grenada,911,,
Guam,911,,
Liberia,911,,
"Marshall Islands, Republic of",911,,
"Micronesia, Federated States of",911,,
"Northern Mariana Islands, Commonwealth of (CNMI)",911,,
Palau,911,,
Panama,911,,
Paraguay,911,,
Puerto Rico,911,,
Tonga,911,922,933
United States of America,911,,
Uruguay,911,,
U.S. Virgin Islands,911,,
Ascension Islands,999,,
Bahrain,999,,
Dominica,999,,
Falkland Islands (Malvinas),999,,
Ghana,999,191,193
Kenya,999,,
Mauritius,999,,
Niue,999,,
Norfolk Island,999,977,911
Oman,999,,
Qatar,999,,
Samoa,999,995,996
Solomon Islands,999,,
South Sudan,999,,
South Georgia and South Sandwich Islands,999,,
Sudan,999,,
Zimbabwe,999,995,994
Australia,"000, 112 mobiles",,
Libya,1515,,
"Korea, D.P.R.O.",112 or 119,,
North Korea (DPRK),112 or 119,,
Colombia,112 or 123,156,132
Cyprus,112 or 199,,
Gibraltar,112 or 199,,190
"Ireland, Republic of",112 or 199,,
Costa Rica,112 or 911,,
Dominican Republic,112 or 911,,
Jordan,112 or 911,,
Malaysia,112 or 999,,
Seychelles,112 or 999,133,151
Uganda,"199, 112 mobiles","199, 112 mobiles",
Mexico,911 or 066,66,65
Armenia,911 or 112,102,103
Antigua and Barbuda,911 or 999,,
Saint Lucia,911 or 999,,
Turks and Caicos Islands,911 or 999,,
Botswana,997 or 911,,
Hong Kong,999 on landlines,,
"United Kingdom (England, Scotland, Northern Island, Wales)",999 or 112,"999, 112",999
British Virgin Islands,999 or 911,,999
Saint Vincent and the Grenadines,999 or 911,,
Great Britain,112 0r 999,999 or 112,999
Philippines,"117, 112 and 911",,
Pakistan,"15, 1122 landlines",15,115
"Bahamas, The",911 or 919,,
Macau,999,,
